latitude,longitude,area_in_meters,confidence,full_plus_code,Country,Province,State,StateDistrict,County,Town,City,Suburb,Type,AddressType,Amenity,OSM_Type,OSM_ID,Building_material,Roof_materials,Surface,Elevation,geometry,height_net,height_gross,vol_2025,vol_2030,pop_2025,pop_2030
-15.75443919,35.00149344,246.0125,0.9227,5GPQ62W2+6HHH,,,,,,,,,,,,,,,,,906,POINT (35.00149344 -15.75443919),8.07691764831543,2.4915108680725098,24885.0,24885.0,45.065486907958984,53.07511901855469
-15.83778574,35.05544515,166.2608,0.9129,5GPQ5364+V5PC,,,,,,,,,,,,,,,,,1131,POINT (35.05544515 -15.83778574),5.606642723083496,1.5304901599884033,15301.0,15301.0,18.135150909423828,20.668550491333008
-13.99414835,33.79786842,298.5242,0.9299,5GRM2Q4X+84X5,,,,,,,,,,,,,,,,,1057,POINT (33.79786842 -13.99414835),6.653473377227783,2.9631245136260986,29641.0,29641.0,523.4266357421875,637.900146484375
-15.12840967,39.21516024,92.4803,0.915,5GPXV6C8+J3MJ,Moçambique,,Nampula,Cidade de Nampula,,,Nampula,,residential,road,,way,591566004.0,,,unpaved,395,POINT (39.21516024 -15.12840967),7.236296653747559,2.4977524280548096,24987.0,24987.0,133.1471710205078,163.93577575683594
-15.35291396,35.38507523,117.1021,0.9038,5GPQJ9WP+R2PF,,,,,,,,,,,,,,,,,799,POINT (35.38507523 -15.35291396),2.5,0.03180000185966492,433.0,433.0,2.2571988105773926,2.4104743003845215
-14.25502387,31.34408102,127.26,0.9102,5GQHP8VV+XJW4,,,,,,,,,,,,,,,,,1005,POINT (31.34408102 -14.25502387),6.065014362335205,1.885697841644287,18880.0,18880.0,30.277246475219727,32.28044891357422
-15.8507566,35.03868445,130.277,0.9134,5GPQ42XQ+MFVQ,,,,,,,,,,,,,,,,,1099,POINT (35.03868445 -15.8507566),5.495294094085693,0.3808348774909973,3797.0,3797.0,14.85330867767334,17.45139503479004
-14.29886432,31.32898989,76.0625,0.9048,5GQHP82H+FH5G,,,,,,,,,,,,,,,,,979,POINT (31.32898989 -14.29886432),2.5137581825256348,0.05300259217619896,797.0,797.0,1.278123140335083,1.362686276435852
-14.42485479,34.34991899,218.756,0.9026,5GQPH8GX+3X3V,Moçambique,,Tete,Angónia,,,,,unclassified,road,,way,400147624.0,,,,1548,POINT (34.34991899 -14.42485479),2.5,0.4664424657821655,4653.0,4653.0,17.994327545166016,17.971128463745117
-16.21866649,33.60060397,93.282,0.9016,5GMMQJJ2+G6Q7,Moçambique,,Tete,Cidade de Tete,,,Tete,,unclassified,road,,way,388266869.0,,,,157,POINT (33.60060397 -16.21866649),2.5,0.021900000050663948,283.0,283.0,1.1921976804733276,1.487044095993042
